Gene_ID,Gene_Annotation ,Protein_Sequence_Length,mean_Similarity,NO_GOs ,Gos,Enzyme_Codes
g2293.t1,Not Available,727,,0,-,
g2294.t1,peptidyl-prolyl isomerase cwc27,541,73.10%,7,C:cytoplasm; P:protein folding; P:RNA splicing; C:spliceosomal complex; P:mRNA processing; P:protein peptidyl-prolyl isomerization; F:peptidyl-prolyl cis-trans isomerase activity,EC:5.2.1.8
g2295.t1,heat shock transcription factor,881,59.20%,5,"F:transcription factor activity; F:sequence-specific DNA binding; P:response to stress; C:nucleus; P:regulation of transcription, DNA-dependent",-
g2296.t1,Not Available,198,,0,-,
g2297.t1,Not Available,163,,0,-,
g2298.t1,peptidyl-prolyl cis-trans isomerase-like 3,816,84.45%,3,P:protein folding; P:protein peptidyl-prolyl isomerization; F:peptidyl-prolyl cis-trans isomerase activity,EC:5.2.1.8
g2299.t1,arrestin domain-containing protein,753,84.25%,0,-,
g23.t1,Not Available,142,,0,-,
g230.t1,acylase acy 1,609,76.85%,1,F:gamma-glutamyltransferase activity,EC:2.3.2.2
g2300.t1,Not Available,720,,0,-,
g2301.t1,conserved hypothetical protein [Clavispora lusitaniae ATCC 42720],1351,63.00%,0,-,
g2302.t1,succinyl- ligase,448,89.70%,6,F:succinate-CoA ligase (GDP-forming) activity; F:GTP binding; F:ATP binding; P:tricarboxylic acid cycle; F:succinate-CoA ligase (ADP-forming) activity; C:mitochondrion,EC:6.2.1.4; EC:6.2.1.5
g2303.t1,protein required for cell viability,906,64.55%,1,F:binding,-
g2304.t1,Not Available,258,,0,-,
g2305.t1,Not Available,201,,0,-,
g2306.t1,hypothetical protein VDAG_02000 [Verticillium dahliae VdLs.17],659,46.00%,0,-,
g2307.t1,Not Available,1145,,0,-,
g2308.t1,Not Available,226,,0,-,
g2309.t1,threonine synthase,530,82.45%,3,P:threonine biosynthetic process; F:pyridoxal phosphate binding; F:threonine synthase activity,EC:4.2.3.1
g231.t1,pyruvate kinase,551,87.40%,6,F:pyruvate kinase activity; P:phosphorylation; F:potassium ion binding; F:ATP binding; F:magnesium ion binding; P:glycolysis,EC:2.7.1.40
g2310.t1,hypothetical protein GLRG_08100 [Glomerella graminicola M1.001],161,66.25%,3,F:molecular_function; P:biological_process; C:cellular_component,
g2311.t1,Not Available,163,,0,-,
g2312.t1,hd domain-containing protein,380,56.25%,6,"F:nucleobase, nucleoside, nucleotide kinase activity; P:nucleobase, nucleoside, nucleotide and nucleic acid metabolic process; F:hydrolase activity; F:ATP binding; C:nucleus; C:cytosol",-
g2313.t1,o-acetylhomoserine -lyase,440,90.70%,4,F:pyridoxal phosphate binding; P:cellular amino acid metabolic process; F:O-acetylhomoserine aminocarboxypropyltransferase activity; F:lyase activity,EC:2.5.1.49
g2314.t1,Not Available,570,,0,-,
g2315.t1,hypothetical protein CH063_06074 [Colletotrichum higginsianum],270,71.75%,3,F:molecular_function; P:biological_process; C:cellular_component,
g2316.t1,Not Available,313,,0,-,
g2317.t1,rna-binding protein fus tls,299,71.47%,0,-,
g2318.t1,hypothetical protein GLRG_08105 [Glomerella graminicola M1.001],832,71.65%,1,C:integral to membrane,-
g2319.t1,Not Available,482,,0,-,
g232.t1,zinc finger protein,1468,60.30%,2,F:zinc ion binding; F:nucleic acid binding,-
g2320.t1,chy zinc finger domain protein,2421,63.35%,2,F:zinc ion binding; F:electron carrier activity,-
g2321.t1,glycosyltransferase family 39 protein,740,86.05%,3,C:membrane; F:mannosyltransferase activity; P:protein amino acid O-linked glycosylation,-
g2322.t1,mitotic-spindle organizing protein 1,616,77.15%,2,C:microtubule organizing center; C:spindle,-
g2323.t1,kinetochore protein spc-25,266,82.90%,4,P:mitosis; C:condensed chromosome kinetochore; C:nucleus; P:cell division,-
g2324.t1,Not Available,529,,0,-,
g2325.t1,rna polymerase i-specific transcription initiation factor rrn6-like protein,1052,44.20%,0,-,
g2326.t1,duf1000 domain protein,225,79.70%,0,-,
g2327.t1,cytochrome oxidase assembly,771,75.75%,0,-,
g2328.t1,54s ribosomal protein l9,343,73.35%,3,C:ribosome; F:structural constituent of ribosome; P:translation,-
g2329.t1,Not Available,1104,,0,-,
g233.t1,Not Available,398,,0,-,
g2330.t1,ankyrin repeat protein nuc-2,1037,77.80%,7,P:glycerol metabolic process; P:lipid metabolic process; F:kinase activity; P:phosphorylation; F:aspartic-type endopeptidase activity; P:proteolysis; F:glycerophosphodiester phosphodiesterase activity,EC:3.4.23.0; EC:3.1.4.46
g2331.t1,Not Available,547,,0,-,
g2332.t1,cue domain,498,64.25%,3,C:cytoplasm; F:ubiquitin binding; P:ubiquitin-dependent protein catabolic process,-
g2333.t1,hypothetical protein BC1G_08512 [Botryotinia fuckeliana B05.10],867,64.75%,3,F:molecular_function; P:biological_process; C:cellular_component,
g2334.t1,Not Available,1146,,0,-,
g2335.t1,hexose transporter,1853,77.40%,4,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport,-
g2336.t1,Not Available,605,,0,-,
g2337.t1,chitin synthase export chaperone,298,79.90%,2,F:molecular_function; C:cellular_component,
g2338.t1,Not Available,137,,0,-,
g2339.t1,Not Available,366,,0,-,
g234.t1,glycosyltransferase family 2 protein,1543,82.60%,5,F:chitin synthase activity; C:plasma membrane; P:chitin biosynthetic process; C:integral to membrane; P:cellular cell wall organization,EC:2.4.1.16
g2340.t1,tfiih basal transcription factor complex p47 subunit,465,76.35%,3,C:nucleus; F:zinc ion binding; P:DNA repair,-
g2341.t1,4-hydroxyphenylpyruvate dioxygenase,417,83.45%,5,F:metal ion binding; P:tyrosine catabolic process; F:4-hydroxyphenylpyruvate dioxygenase activity; P:L-phenylalanine catabolic process; P:oxidation reduction,EC:1.13.11.27
g2342.t1,Not Available,278,,0,-,
g2343.t1,Not Available,100,,0,-,
g2344.t1,hypothetical protein MYCTH_2130809 [Myceliophthora thermophila ATCC 42464],392,73.00%,0,-,
g2345.t1,hypothetical protein CH063_07684 [Colletotrichum higginsianum],262,70.50%,1,F:binding,-
g2346.t1,60s ribosomal protein l27,412,92.35%,4,C:ribosome; P:mycelium development; F:structural constituent of ribosome; P:translation,-
g2347.t1,duf250 domain membrane protein,558,79.95%,1,C:integral to membrane,-
g2348.t1,udp-galactopyranose mutase,500,84.70%,1,F:UDP-galactopyranose mutase activity,EC:5.4.99.9
g2349.t1,Not Available,410,,0,-,
g235.t1,snare docking complex subunit,707,84.60%,1,P:vesicle docking during exocytosis,-
g2350.t1,Not Available,392,,0,-,
g2351.t1,histidine kinase hhk1p,2434,74.40%,7,"F:two-component response regulator activity; P:two-component signal transduction system (phosphorelay); P:peptidyl-histidine phosphorylation; P:regulation of transcription, DNA-dependent; F:ATP binding; F:two-component sensor activity; C:membrane",-
g2352.t1,Not Available,1207,,0,-,
g2353.t1,hypothetical protein CHGG_07903 [Chaetomium globosum CBS 148.51],476,60.85%,0,-,
g2354.t1,Not Available,182,,0,-,
g2355.t1,Not Available,111,,0,-,
g2356.t1,Not Available,149,,0,-,
g2357.t1,Not Available,782,,0,-,
g2358.t1,tbc domain,1152,64.95%,9,P:pathogenesis; P:vesicle-mediated transport; F:Rab GTPase activator activity; C:cytosol; P:developmental pigmentation; P:ascospore formation; P:conidium formation; C:nucleus; P:positive regulation of Rab GTPase activity,-
g2359.t1,hypothetical protein TRIVIDRAFT_225309 [Trichoderma virens Gv29-8],459,44.26%,0,-,
g236.t1,Not Available,1384,,0,-,
g2360.t1,dil and ankyrin domain containing protein,805,83.15%,2,F:allantoicase activity; F:specific transcriptional repressor activity,EC:3.5.3.4
g2361.t1,Not Available,211,,0,-,
g2362.t1,Not Available,171,,0,-,
g2363.t1,allantoicase,361,82.25%,2,F:allantoicase activity; P:purine base metabolic process,EC:3.5.3.4
g2364.t1,Not Available,277,,0,-,
g2365.t1,cytochrome b561,244,64.15%,1,C:integral to membrane,-
g2366.t1,Not Available,176,,0,-,
g2367.t1,peroxide stress-activated histidine kinase mak1,2084,65.90%,7,"F:two-component response regulator activity; P:two-component signal transduction system (phosphorelay); P:peptidyl-histidine phosphorylation; P:regulation of transcription, DNA-dependent; F:ATP binding; F:two-component sensor activity; C:membrane",-
g2368.t1,Not Available,115,,0,-,
g2369.t1,Not Available,645,,0,-,
g237.t1,beta-lactamase-type transpeptidase fold domain containing protein,731,75.40%,2,C:intracellular; P:transport,-
g2370.t1,Not Available,193,,0,-,
g2371.t1,phosphoglycerate mutase,470,74.75%,2,F:catalytic activity; P:metabolic process,-
g2372.t1,duf1168 domain protein,783,73.30%,0,-,
g2373.t1,t-complex protein 1 subunit gamma,714,93.95%,5,P:protein folding; C:cytoplasm; F:unfolded protein binding; F:ATP binding; P:mycelium development,-
g2374.t1,t-complex protein 1 epsilon subunit,538,51.56%,0,-,
g2375.t1,Not Available,136,,0,-,
g2376.t1,Not Available,167,,0,-,
g2377.t1,zinc finger protein,311,64.00%,3,F:zinc ion binding; F:nucleic acid binding; C:intracellular,-
g2378.t1,gdsl-like lipase acylhydrolase domain protein,452,68.15%,2,"P:lipid metabolic process; F:hydrolase activity, acting on ester bonds",-
g2379.t1,Not Available,266,,0,-,
g238.t1,Not Available,151,,0,-,
g2380.t1,Not Available,236,,0,-,
g2381.t1,hypothetical protein SS1G_05435 [Sclerotinia sclerotiorum 1980],214,73.55%,0,-,
g2382.t1,Not Available,801,,0,-,
g2383.t1,major facilitator superfamily transporter,442,75.50%,2,P:transmembrane transport; P:mycelium development,-
g2384.t1,Not Available,130,,0,-,
g2385.t1,Not Available,99,,0,-,
g2386.t1,chitinase 1 precursor,676,58.25%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g2387.t1,Not Available,187,,0,-,
g2388.t1,Not Available,647,,0,-,
g2389.t1,palmitoyltransferase erf2,660,65.40%,4,C:endoplasmic reticulum membrane; F:acyltransferase activity; C:integral to membrane; F:zinc ion binding,-
g239.t1,cell division control protein,1429,83.65%,1,P:cell division,-
g2390.t1,importin subunit beta-1,876,88.00%,4,P:mycelium development; P:intracellular protein transport; F:binding; F:protein transporter activity,-
g2391.t1,Not Available,773,,0,-,
g2392.t1,formyl transferase-like protein,115,67.50%,4,"P:biosynthetic process; F:hydroxymethyl-, formyl- and related transferase activity; F:phosphoribosylglycinamide formyltransferase activity; P:'de novo' IMP biosynthetic process",
g2393.t1,Not Available,432,,0,-,
g2394.t1,ferric reductase,626,77.85%,6,F:FAD binding; C:integral to membrane; F:oxidoreductase activity; F:iron ion binding; F:electron carrier activity; P:oxidation reduction,-
g2395.t1,Not Available,432,,0,-,
g2396.t1,duf1690 domain-containing protein,270,74.60%,2,F:molecular_function; P:biological_process,
g2397.t1,Not Available,350,,0,-,
g2398.t1,phosphoadenosine phosphosulfate reductase,313,80.75%,3,"P:sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin); P:cysteine biosynthetic process; F:phosphoadenylyl-sulfate reductase (thioredoxin) activity",EC:1.8.4.8
g2399.t1,phosphoserine phosphatase,500,77.80%,5,C:cytoplasm; P:dephosphorylation; F:magnesium ion binding; F:phosphoserine phosphatase activity; P:L-serine biosynthetic process,EC:3.1.3.3
g24.t1,methyltransferase domain-containing protein,419,74.95%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g240.t1,Not Available,191,,0,-,
g2400.t1,hypothetical protein TRIVIDRAFT_88957 [Trichoderma virens Gv29-8],633,56.00%,3,F:molecular_function; P:biological_process; C:cellular_component,
g2401.t1,mitochondrial 40s ribosomal protein mrp2,447,87.30%,3,C:ribosome; F:structural constituent of ribosome; P:translation,-
g2402.t1,Not Available,151,,0,-,
g2403.t1,cell wall glycosyl hydrolase,592,71.80%,2,"F:mannan endo-1,6-alpha-mannosidase activity; P:carbohydrate catabolic process",EC:3.2.1.101
g2404.t1,Not Available,324,,0,-,
g2405.t1,Not Available,184,,0,-,
g2406.t1,synaptobrevin,122,79.55%,2,C:integral to membrane; P:vesicle-mediated transport,-
g2407.t1,Not Available,885,,0,-,
g2408.t1,acetylglutamate,883,76.10%,8,P:arginine biosynthetic process; F:NAD or NADH binding; F:N-acetyl-gamma-glutamyl-phosphate reductase activity; P:phosphorylation; F:acetylglutamate kinase activity; F:ATP binding; C:mitochondrion; P:oxidation reduction,EC:1.2.1.38; EC:2.7.2.8
g2409.t1,Not Available,133,,0,-,
g241.t1,Not Available,144,,0,-,
g2410.t1,Not Available,208,,0,-,
g2411.t1,Not Available,297,,0,-,
g2412.t1,cytochrome p450 monooxygenase,593,54.45%,6,P:cellular nitrogen compound biosynthetic process; F:heme binding; F:monooxygenase activity; P:mycelium development; F:electron carrier activity; P:oxidation reduction,-
g2413.t1,fungal specific transcription factor domain-containing protein,857,48.60%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g2414.t1,aldolase,352,65.35%,2,P:cellular aromatic compound metabolic process; F:carbon-carbon lyase activity,-
g2415.t1,d-3-phosphoglycerate dehydrogenase,324,67.00%,3,P:oxidation reduction; F:phosphoglycerate dehydrogenase activity; F:NAD or NADH binding,EC:1.1.1.95
g2416.t1,Not Available,279,,0,-,
g2417.t1,Not Available,124,,0,-,
g2418.t1,pantothenate transporter,495,65.40%,1,P:transmembrane transport,-
g2419.t1,hypothetical protein [Podospora anserina S mat+],674,47.50%,0,-,
g242.t1,Not Available,317,,0,-,
g2420.t1,fumarylacetoacetate hydrolase family protein,488,76.65%,3,F:hydrolase activity; P:metabolic process; F:5-carboxymethyl-2-hydroxymuconate delta-isomerase activity,EC:5.3.3.10
g2421.t1,gentisate -dioxygenase,586,82.15%,1,"F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",EC:1.13.11.0
g2422.t1,c6 transcription,758,52.85%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g2423.t1,Not Available,206,,0,-,
g2424.t1,Not Available,204,,0,-,
g2425.t1,salicylate hydroxylase,528,68.35%,3,P:oxidation reduction; F:salicylate 1-monooxygenase activity; F:electron carrier activity,EC:1.14.13.1
g2426.t1,Not Available,155,,0,-,
g2427.t1,cytochrome p450 monooxygenase,507,56.40%,4,F:heme binding; F:benzoate 4-monooxygenase activity; F:electron carrier activity; P:oxidation reduction,EC:1.14.13.12
g2428.t1,Not Available,441,,0,-,
g2429.t1,major facilitator superfamily protein,541,52.10%,1,P:transmembrane transport,-
g243.t1,Not Available,215,,0,-,
g2430.t1,Not Available,293,,0,-,
g2431.t1,hypothetical protein FOXB_03523 [Fusarium oxysporum Fo5176],623,54.40%,0,-,
g2432.t1,hypothetical protein MPWG_00265 [Micromonas pusilla virus PL1],531,53.33%,0,-,
g2433.t1,Not Available,382,,0,-,
g2434.t1,nad-dependent deacetylase sirtuin-2,468,74.50%,6,"P:protein amino acid deacetylation; F:zinc ion binding; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; F:NAD binding; P:chromatin silencing; C:cytoplasm",EC:3.5.1.0
g2435.t1,choline dehydrogenase,722,54.70%,3,"F:FAD binding; F:oxidoreductase activity, acting on CH-OH group of donors; P:alcohol metabolic process",-
g2436.t1,Not Available,489,,0,-,
g2437.t1,mitochondrial genome maintenance protein,115,78.60%,1,F:molecular_function,
g2438.t1,Not Available,991,,0,-,
g2439.t1,cytoplasm to vacuole targeting vps64,766,61.00%,0,-,
g244.t1,Not Available,1268,,0,-,
g2440.t1,nicotinate-nucleotide pyrophosphorylase,1050,82.85%,2,F:nicotinate-nucleotide diphosphorylase (carboxylating) activity; P:NAD biosynthetic process,EC:2.4.2.19
g2441.t1,37s ribosomal protein rsm22,767,60.85%,8,C:ribosome; F:electron carrier activity; P:cell redox homeostasis; P:glycerol ether metabolic process; P:methylation; P:translation; F:methyltransferase activity; F:protein disulfide oxidoreductase activity,EC:2.1.1.0
g2442.t1,glycoside hydrolase family 55 protein,1399,64.85%,0,-,
g2443.t1,deoxyribose-phosphate aldolase,1063,72.40%,0,-,
g2444.t1,Not Available,419,,0,-,
g2445.t1,lipoic acid synthetase,410,83.15%,5,"F:metal ion binding; F:lipoate synthase activity; F:4 iron, 4 sulfur cluster binding; C:mitochondrion; P:lipoate biosynthetic process",EC:2.8.1.8
g2446.t1,Not Available,118,,0,-,
g2447.t1,Not Available,107,,0,-,
g2448.t1,mitotic spindle biogenesis protein,501,74.00%,1,F:molecular_function,
g2449.t1,Not Available,238,,0,-,
g245.t1,ccr4-not transcription complex subunit,2154,75.10%,0,-,
g2450.t1,osmosensor protein,298,78.10%,0,-,
g2451.t1,aquaporin,276,68.95%,3,P:transmembrane transport; C:integral to membrane; F:transporter activity,-
g2452.t1,Not Available,150,,0,-,
g2453.t1,ribosomal protein s16,867,85.90%,4,C:ribosome; F:structural constituent of ribosome; P:translation; C:mitochondrion,-
g2454.t1,amino acid transporter,820,76.40%,2,C:integral to membrane; P:mycelium development,-
g2455.t1,structural maintenance of chromosome complex subunit,1136,61.50%,6,P:chromosome segregation; F:DNA binding; F:ATP binding; C:chromosome; C:nucleoid; P:chromosome condensation,-
g2456.t1,Not Available,617,,0,-,
g2457.t1,Not Available,274,,0,-,
g2458.t1,Not Available,166,,0,-,
g2459.t1,Not Available,132,,0,-,
g246.t1,Not Available,275,,0,-,
g2460.t1,2-dehydropantoate 2-reductase-like protein,761,88.90%,3,F:oxidoreductase activity; P:oxidation reduction; F:NADP or NADPH binding,-
g2461.t1,Not Available,198,,0,-,
g2462.t1,Not Available,243,,0,-,
g2463.t1,Not Available,207,,0,-,
g2464.t1,nad binding rossmann fold,390,67.70%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g2465.t1,Not Available,248,,0,-,
g2466.t1,hypothetical protein THITE_2129455 [Thielavia terrestris NRRL 8126],529,74.55%,0,-,
g2467.t1,Not Available,385,,0,-,
g2468.t1,subtilisin-like protease pr1a,392,70.70%,4,P:negative regulation of catalytic activity; P:proteolysis; F:identical protein binding; F:serine-type endopeptidase activity,EC:3.4.21.0
g2469.t1,calcium binding protein,526,77.15%,1,F:calcium ion binding,-
g247.t1,methyltransferase oms1,804,55.00%,2,F:methyltransferase activity; P:methylation,EC:2.1.1.0
g2470.t1,hypothetical protein FOXB_03160 [Fusarium oxysporum Fo5176],107,75.75%,3,F:molecular_function; P:biological_process; C:cellular_component,
g2471.t1,nadh dehydrogenase,450,55.20%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g2472.t1,lactose permease,490,71.25%,4,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport,-
g2473.t1,glycoside hydrolase,565,72.60%,4,P:carbohydrate metabolic process; C:beta-galactosidase complex; F:beta-galactosidase activity; F:cation binding,EC:3.2.1.23
g2474.t1,cfem domain-containing protein,694,65.40%,0,-,
g2475.t1,Not Available,281,,0,-,
g2476.t1,fad binding domain-containing protein,654,70.05%,3,F:FAD binding; F:oxidoreductase activity; P:oxidation reduction,-
g2477.t1,Not Available,629,,0,-,
g2478.t1,hypothetical protein AOL_s00215g500 [Arthrobotrys oligospora ATCC 24927],217,46.15%,0,-,
g2479.t1,protein,445,48.80%,4,F:ATP binding; P:protein amino acid phosphorylation; F:protein serine/threonine kinase activity; F:protein tyrosine kinase activity,EC:2.7.11.0; EC:2.7.10.0
g248.t1,carbonic anhydrase,999,58.90%,3,F:zinc ion binding; F:carbonate dehydratase activity; P:carbon utilization,EC:4.2.1.1
g2480.t1,hypothetical protein M7I_7336 [Glarea lozoyensis 74030],461,47.00%,3,F:molecular_function; P:biological_process; C:cellular_component,
g2481.t1,Not Available,464,,0,-,
g2482.t1,hypothetical protein PTT_11532 [Pyrenophora teres f. teres 0-1],287,47.00%,0,-,
g2483.t1,Not Available,172,,0,-,
g2484.t1,Not Available,129,,0,-,
g2485.t1,nfx1-type zinc finger-containing protein 1,1854,58.05%,7,"F:transcription factor activity; F:helicase activity; F:nucleic acid binding; F:heat shock protein binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g2486.t1,Not Available,1352,,0,-,
g2487.t1,acetylornithine aminotransferase,804,74.35%,3,P:metabolic process; F:pyridoxal phosphate binding; F:transaminase activity,EC:2.6.1.0
g2488.t1,fungal specific transcription,858,50.20%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g2489.t1,ferric reductase transmembrane component 4,762,60.90%,6,F:FAD binding; C:integral to membrane; F:oxidoreductase activity; F:iron ion binding; F:electron carrier activity; P:oxidation reduction,-
g249.t1,Not Available,183,,0,-,
g2490.t1,Not Available,362,,0,-,
g2491.t1,Not Available,66,,0,-,
g2492.t1,protein,220,55.88%,0,-,
g2493.t1,carbohydrate esterase family 3 protein,1422,54.00%,3,F:phospholipase C activity; ; P:lipid metabolic process,-
g2494.t1,Not Available,934,,0,-,
g2495.t1,Not Available,259,,0,-,
g2496.t1,Not Available,157,,0,-,
g2497.t1,Not Available,101,,0,-,
g2498.t1,Not Available,231,,0,-,
g2499.t1,Not Available,470,,0,-,
g25.t1,hypothetical protein TRIATDRAFT_88626 [Trichoderma atroviride IMI 206040],328,44.00%,0,-,
g250.t1,Not Available,241,,0,-,
g2500.t1,small nuclear ribonucleoprotein,345,90.45%,2,F:nucleic acid binding; C:ribonucleoprotein complex,-
g2501.t1,Not Available,204,,0,-,
g2502.t1,hypothetical protein TRIATDRAFT_90954 [Trichoderma atroviride IMI 206040],717,54.50%,0,-,
g2503.t1,5 -nucleotidase,1046,73.05%,2,F:hydrolase activity; P:nucleotide catabolic process,-
g2504.t1,Not Available,427,,0,-,
g2505.t1,Not Available,552,,0,-,
g2506.t1,phosphatidate cytidylyltransferase,448,83.25%,2,F:phosphatidate cytidylyltransferase activity; C:integral to membrane,EC:2.7.7.41
g2507.t1,Not Available,817,,0,-,
g2508.t1,dna repair protein rad26,778,54.60%,2,F:molecular_function; C:cellular_component,
g2509.t1,predicted protein [Coccidioides immitis RS],154,44.00%,0,-,
g251.t1,guanine nucleotide-binding protein alpha-2 subunit,450,80.20%,3,P:G-protein coupled receptor protein signaling pathway; F:signal transducer activity; F:GTP binding,-
g2510.t1,mfs alpha-glucoside,1706,54.25%,3,F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport,-
g2511.t1,Not Available,77,,0,-,
g2512.t1,c6 zinc finger domain containing protein,923,44.45%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g2513.t1,Not Available,384,,0,-,
g2514.t1,nad-binding rossmann fold oxidoreductase family protein,342,66.55%,3,P:oxidation reduction; F:oxidoreductase activity; F:binding,-
g2515.t1,ankyrin repeat protein,698,47.06%,0,-,
g2516.t1,Not Available,190,,0,-,
g2517.t1,hypothetical protein MAC_03610 [Metarhizium acridum CQMa 102],347,57.00%,0,-,
g2518.t1,rta1 domain,300,66.30%,2,C:integral to membrane; P:response to stress,-
g2519.t1,c6 finger domain,421,46.65%,4,"F:transcription factor activity; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g252.t1,Not Available,328,,0,-,
g2520.t1,Not Available,257,,0,-,
g2521.t1,nb-arc and ankyrin domain protein,631,60.15%,3,P:cellular amino acid metabolic process; F:catalytic activity; P:nucleoside metabolic process,-
g2522.t1,mitochondrial intermembrane space protein mia40,446,66.25%,4,C:mitochondrial inner membrane; P:transmembrane transport; C:integral to membrane; P:protein transport,-
g2523.t1,Not Available,380,,0,-,
g2524.t1,v-snare protein,478,73.10%,1,F:molecular_function,
g2525.t1,thiamine pyrophosphokinase,264,71.90%,6,P:thiamin diphosphate biosynthetic process; P:thiamin metabolic process; F:kinase activity; F:thiamin diphosphokinase activity; P:phosphorylation; F:ATP binding,EC:2.7.6.2
g2526.t1,sodium-hydrogen antiporter,1418,71.65%,4,C:integral to membrane; P:cation transport; P:transmembrane transport; F:solute:hydrogen antiporter activity,-
g2527.t1,Not Available,317,,0,-,
g2528.t1,glycoside hydrolase family 3 protein,1088,77.55%,3,C:extracellular region; F:beta-glucosidase activity; P:cellulose catabolic process,EC:3.2.1.21
g2529.t1,Not Available,559,,0,-,
g253.t1,Not Available,112,,0,-,
g2530.t1,Not Available,349,,0,-,
g2531.t1,hypothetical protein GLRG_08889 [Glomerella graminicola M1.001],388,67.25%,1,F:binding,-
g2532.t1,hypothetical protein TRIATDRAFT_299720 [Trichoderma atroviride IMI 206040],131,69.33%,0,-,
g2533.t1,c2hc5 finger protein,556,63.45%,3,C:nucleus; F:transcription regulator activity; F:zinc ion binding,-
g2534.t1,Not Available,952,,0,-,
g2535.t1,malate dehydrogenase,334,91.85%,5,P:cellular carbohydrate metabolic process; F:binding; F:L-malate dehydrogenase activity; P:malate metabolic process; P:tricarboxylic acid cycle,EC:1.1.1.37
g2536.t1,protein kinase subdomain-containing protein,1227,58.05%,0,-,
g2537.t1,Not Available,518,,0,-,
g2538.t1,protein,367,46.88%,0,-,
g2539.t1,Not Available,250,,0,-,
g254.t1,Not Available,134,,0,-,
g2540.t1,cation-transporting atpase 4,1335,87.90%,6,"C:integral to membrane; P:ATP catabolic process; F:ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; P:ATP biosynthetic process; F:ATP binding; P:cation transport",-
g2541.t1,hypothetical protein CLUG_02060 [Clavispora lusitaniae ATCC 42720],1235,62.00%,0,-,
g2542.t1,hypothetical protein GLRG_09149 [Glomerella graminicola M1.001],1374,46.00%,2,P:response to cAMP; F:ATP binding,-
g2543.t1,Not Available,427,,0,-,
g2544.t1,Not Available,229,,0,-,
g2545.t1,hypothetical protein NECHADRAFT_94069 [Nectria haematococca mpVI 77-13-4],245,48.60%,9,F:ligase activity; F:valine-tRNA ligase activity; P:tRNA aminoacylation for protein translation; F:nucleotide binding; C:cytoplasm; P:translation; F:ATP binding; P:valyl-tRNA aminoacylation; F:aminoacyl-tRNA ligase activity,
g2546.t1,Not Available,120,,0,-,
g2547.t1,lrp16 family protein,766,66.65%,0,-,
g2548.t1,hypothetical protein GLRG_09143 [Glomerella graminicola M1.001],1219,40.69%,3,F:molecular_function; P:biological_process; C:cellular_component,
g2549.t1,Not Available,230,,0,-,
g255.t1,het domain-containing protein,642,46.35%,0,-,
g2550.t1,Not Available,342,,0,-,
g2551.t1,Not Available,1208,,0,-,
g2552.t1,Not Available,199,,0,-,
g2553.t1,fungal specific transcription factor domain-containing protein,673,68.00%,5,"F:transcription factor activity; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription, DNA-dependent",-
g2554.t1,Not Available,322,,0,-,
g2555.t1,integral membrane protein,1869,53.30%,3,F:molecular_function; P:biological_process; C:cellular_component,
g2556.t1,glycogen debranching enzyme,1563,78.05%,7,"C:cytoplasm; F:amylo-alpha-1,6-glucosidase activity; P:glycogen catabolic process; P:glycogen biosynthetic process; F:cation binding; F:4-alpha-glucanotransferase activity; C:nucleus",EC:3.2.1.33; EC:2.4.1.25
g2557.t1,glycerol-3-phosphate dehydrogenase,438,80.90%,5,F:NAD or NADH binding; F:glycerol-3-phosphate dehydrogenase (NAD+) activity; P:glycerol-3-phosphate catabolic process; C:glycerol-3-phosphate dehydrogenase complex; P:oxidation reduction,EC:1.1.1.8
g2558.t1,Not Available,311,,0,-,
g2559.t1,gliotoxin biosynthesis protein,356,60.70%,1,P:mycelium development,-
g256.t1,Not Available,129,,0,-,
g2560.t1,Not Available,1057,,0,-,
g2561.t1,Not Available,517,,0,-,
